Date,Ward,No_confirmed_cases,
18-May-20,Kasba-Vishrambagwada,404,
18-May-20,Bhawani Peth,639,
18-May-20,Bibwewadi,186,
18-May-20,Dhole Patil,717,
18-May-20,Wanawadi-Ramtekdi,186,
18-May-20,Hadapsar-Mundhawa,87,
18-May-20,Yerwada-Kalas-Dhanori,455,
18-May-20,Nagar Road-Wadgaonsheri,105,
19-May-20,Aundh-Baner,8,
19-May-20,Kothrud-Bavdhan,9,
19-May-20,Warje-Karvenagar,27,
19-May-20,Sinhagad Road,51,
19-May-20,Dhankawadi-Sahakarnagar,189,
19-May-20,Kondhwa-Yewalewadi,64,
19-May-20,Shivajinagar-Ghole Road,366,
19-May-20,Kasba-Vishrambagwada,413,
19-May-20,Bhawani Peth,646,
19-May-20,Bibwewadi,194,
19-May-20,Dhole Patil,774,
19-May-20,Wanawadi-Ramtekdi,189,
19-May-20,Hadapsar-Mundhawa,91,
19-May-20,Yerwada-Kalas-Dhanori,474,
19-May-20,Nagar Road-Wadgaonsheri,111,
20-May-20,Aundh-Baner,8,
20-May-20,Kothrud-Bavdhan,10,
20-May-20,Warje-Karvenagar,31,
20-May-20,Sinhagad Road,58,
20-May-20,Dhankawadi-Sahakarnagar,194,
20-May-20,Kondhwa-Yewalewadi,66,
20-May-20,Shivajinagar-Ghole Road,375,
20-May-20,Kasba-Vishrambagwada,421,
20-May-20,Bhawani Peth,665,
20-May-20,Bibwewadi,210,
20-May-20,Dhole Patil,827,
20-May-20,Wanawadi-Ramtekdi,191,
20-May-20,Hadapsar-Mundhawa,97,
20-May-20,Yerwada-Kalas-Dhanori,487,
20-May-20,Nagar Road-Wadgaonsheri,114,
21-May-20,Aundh-Baner,10,
21-May-20,Kothrud-Bavdhan,11,
21-May-20,Warje-Karvenagar,33,
21-May-20,Sinhagad Road,61,
21-May-20,Dhankawadi-Sahakarnagar,198,
21-May-20,Kondhwa-Yewalewadi,79,
21-May-20,Shivajinagar-Ghole Road,379,
21-May-20,Kasba-Vishrambagwada,441,
21-May-20,Bhawani Peth,671,
21-May-20,Bibwewadi,235,
21-May-20,Dhole Patil,874,
21-May-20,Wanawadi-Ramtekdi,207,
21-May-20,Hadapsar-Mundhawa,107,
21-May-20,Yerwada-Kalas-Dhanori,515,
21-May-20,Nagar Road-Wadgaonsheri,127,
22-May-20,Aundh-Baner,10,
22-May-20,Kothrud-Bavdhan,14,
22-May-20,Warje-Karvenagar,35,
22-May-20,Sinhagad Road,65,
22-May-20,Dhankawadi-Sahakarnagar,203,
22-May-20,Kondhwa-Yewalewadi,81,
22-May-20,Shivajinagar-Ghole Road,388,
22-May-20,Kasba-Vishrambagwada,464,
22-May-20,Bhawani Peth,685,
22-May-20,Bibwewadi,271,
22-May-20,Dhole Patil,972,
22-May-20,Wanawadi-Ramtekdi,221,
22-May-20,Hadapsar-Mundhawa,120,
22-May-20,Yerwada-Kalas-Dhanori,577,
22-May-20,Nagar Road-Wadgaonsheri,140,
23-May-20,Aundh-Baner,10,
23-May-20,Kothrud-Bavdhan,14,
23-May-20,Warje-Karvenagar,35,
23-May-20,Sinhagad Road,70,
23-May-20,Dhankawadi-Sahakarnagar,205,
23-May-20,Kondhwa-Yewalewadi,83,
23-May-20,Shivajinagar-Ghole Road,410,
23-May-20,Kasba-Vishrambagwada,483,
23-May-20,Bhawani Peth,710,
23-May-20,Bibwewadi,277,
23-May-20,Dhole Patil,1019,
23-May-20,Wanawadi-Ramtekdi,231,
23-May-20,Hadapsar-Mundhawa,130,
23-May-20,Yerwada-Kalas-Dhanori,609,
23-May-20,Nagar Road-Wadgaonsheri,146,
24-May-20,Aundh-Baner,11,
24-May-20,Kothrud-Bavdhan,17,
24-May-20,Warje-Karvenagar,36,
24-May-20,Sinhagad Road,78,
24-May-20,Dhankawadi-Sahakarnagar,211,
24-May-20,Kondhwa-Yewalewadi,85,
24-May-20,Shivajinagar-Ghole Road,419,
24-May-20,Kasba-Vishrambagwada,496,
24-May-20,Bhawani Peth,720,
24-May-20,Bibwewadi,302,
24-May-20,Dhole Patil,1057,
24-May-20,Wanawadi-Ramtekdi,251,
24-May-20,Hadapsar-Mundhawa,134,
24-May-20,Yerwada-Kalas-Dhanori,640,
24-May-20,Nagar Road-Wadgaonsheri,151,
25-May-20,Aundh-Baner,11,
25-May-20,Kothrud-Bavdhan,21,
25-May-20,Warje-Karvenagar,37,
25-May-20,Sinhagad Road,86,
25-May-20,Dhankawadi-Sahakarnagar,216,
25-May-20,Kondhwa-Yewalewadi,86,
25-May-20,Shivajinagar-Ghole Road,443,
25-May-20,Kasba-Vishrambagwada,515,
25-May-20,Bhawani Peth,767,
25-May-20,Bibwewadi,312,
25-May-20,Dhole Patil,1187,
25-May-20,Wanawadi-Ramtekdi,274,
25-May-20,Hadapsar-Mundhawa,157,
25-May-20,Yerwada-Kalas-Dhanori,699,
25-May-20,Nagar Road-Wadgaonsheri,168,
26-May-20,Aundh-Baner,13,
26-May-20,Kothrud-Bavdhan,23,
26-May-20,Warje-Karvenagar,39,
26-May-20,Sinhagad Road,87,
26-May-20,Dhankawadi-Sahakarnagar,227,
26-May-20,Kondhwa-Yewalewadi,87,
26-May-20,Shivajinagar-Ghole Road,449,
26-May-20,Kasba-Vishrambagwada,520,
26-May-20,Bhawani Peth,772,
26-May-20,Bibwewadi,397,
26-May-20,Dhole Patil,1237,
26-May-20,Wanawadi-Ramtekdi,286,
26-May-20,Hadapsar-Mundhawa,176,
26-May-20,Yerwada-Kalas-Dhanori,738,
26-May-20,Nagar Road-Wadgaonsheri,176,
27-May-20,Aundh-Baner,13,
27-May-20,Kothrud-Bavdhan,24,
27-May-20,Warje-Karvenagar,40,
27-May-20,Sinhagad Road,88,
27-May-20,Dhankawadi-Sahakarnagar,232,
27-May-20,Kondhwa-Yewalewadi,94,
27-May-20,Shivajinagar-Ghole Road,457,
27-May-20,Kasba-Vishrambagwada,537,
27-May-20,Bhawani Peth,792,
27-May-20,Bibwewadi,409,
27-May-20,Dhole Patil,1244,
27-May-20,Wanawadi-Ramtekdi,292,
27-May-20,Hadapsar-Mundhawa,184,
27-May-20,Yerwada-Kalas-Dhanori,746,
27-May-20,Nagar Road-Wadgaonsheri,179,
28-May-20,Aundh-Baner,20,
28-May-20,Kothrud-Bavdhan,28,
28-May-20,Warje-Karvenagar,42,
28-May-20,Sinhagad Road,127,
28-May-20,Dhankawadi-Sahakarnagar,241,
28-May-20,Kondhwa-Yewalewadi,98,
28-May-20,Shivajinagar-Ghole Road,477,
28-May-20,Kasba-Vishrambagwada,547,
28-May-20,Bhawani Peth,802,
28-May-20,Bibwewadi,436,
28-May-20,Dhole Patil,1304,
28-May-20,Wanawadi-Ramtekdi,324,
28-May-20,Hadapsar-Mundhawa,197,
28-May-20,Yerwada-Kalas-Dhanori,788,
28-May-20,Nagar Road-Wadgaonsheri,185,
29-May-20,Aundh-Baner,24,
29-May-20,Kothrud-Bavdhan,30,
29-May-20,Warje-Karvenagar,43,
29-May-20,Sinhagad Road,138,
29-May-20,Dhankawadi-Sahakarnagar,253,
29-May-20,Kondhwa-Yewalewadi,104,
29-May-20,Shivajinagar-Ghole Road,494,
29-May-20,Kasba-Vishrambagwada,570,
29-May-20,Bhawani Peth,816,
29-May-20,Bibwewadi,451,
29-May-20,Dhole Patil,1383,
29-May-20,Wanawadi-Ramtekdi,337,
29-May-20,Hadapsar-Mundhawa,202,
29-May-20,Yerwada-Kalas-Dhanori,813,
29-May-20,Nagar Road-Wadgaonsheri,193,
30-May-20,Aundh-Baner,29,
30-May-20,Kothrud-Bavdhan,30,
30-May-20,Warje-Karvenagar,44,
30-May-20,Sinhagad Road,140,
30-May-20,Dhankawadi-Sahakarnagar,257,
30-May-20,Kondhwa-Yewalewadi,104,
30-May-20,Shivajinagar-Ghole Road,506,
30-May-20,Kasba-Vishrambagwada,573,
30-May-20,Bhawani Peth,818,
30-May-20,Bibwewadi,457,
30-May-20,Dhole Patil,1392,
30-May-20,Wanawadi-Ramtekdi,349,
30-May-20,Hadapsar-Mundhawa,216,
30-May-20,Yerwada-Kalas-Dhanori,829,
30-May-20,Nagar Road-Wadgaonsheri,198,
31-May-20,Aundh-Baner,32,
31-May-20,Kothrud-Bavdhan,32,
31-May-20,Warje-Karvenagar,45,
31-May-20,Sinhagad Road,193,
31-May-20,Dhankawadi-Sahakarnagar,268,
31-May-20,Kondhwa-Yewalewadi,107,
31-May-20,Shivajinagar-Ghole Road,528,
31-May-20,Kasba-Vishrambagwada,592,
31-May-20,Bhawani Peth,822,
31-May-20,Bibwewadi,468,
31-May-20,Dhole Patil,1442,
31-May-20,Wanawadi-Ramtekdi,363,
31-May-20,Hadapsar-Mundhawa,236,
31-May-20,Yerwada-Kalas-Dhanori,851,
31-May-20,Nagar Road-Wadgaonsheri,210,
01-Jun-20,Aundh-Baner,33,
01-Jun-20,Kothrud-Bavdhan,36,
01-Jun-20,Warje-Karvenagar,45,
01-Jun-20,Sinhagad Road,195,
01-Jun-20,Dhankawadi-Sahakarnagar,269,
01-Jun-20,Kondhwa-Yewalewadi,108,
01-Jun-20,Shivajinagar-Ghole Road,544,
01-Jun-20,Kasba-Vishrambagwada,599,
01-Jun-20,Bhawani Peth,828,
01-Jun-20,Bibwewadi,469,
01-Jun-20,Dhole Patil,1461,
01-Jun-20,Wanawadi-Ramtekdi,371,
01-Jun-20,Hadapsar-Mundhawa,243,
01-Jun-20,Yerwada-Kalas-Dhanori,861,
01-Jun-20,Nagar Road-Wadgaonsheri,214,
02-Jun-20,Aundh-Baner,34,
02-Jun-20,Kothrud-Bavdhan,39,
02-Jun-20,Warje-Karvenagar,47,
02-Jun-20,Sinhagad Road,215,
02-Jun-20,Dhankawadi-Sahakarnagar,280,
02-Jun-20,Kondhwa-Yewalewadi,113,
02-Jun-20,Shivajinagar-Ghole Road,572,
02-Jun-20,Kasba-Vishrambagwada,621,
02-Jun-20,Bhawani Peth,842,
02-Jun-20,Bibwewadi,477,
02-Jun-20,Dhole Patil,1496,
02-Jun-20,Wanawadi-Ramtekdi,404,
02-Jun-20,Hadapsar-Mundhawa,271,
02-Jun-20,Yerwada-Kalas-Dhanori,882,
02-Jun-20,Nagar Road-Wadgaonsheri,232,
03-Jun-20,Aundh-Baner,47,
03-Jun-20,Kothrud-Bavdhan,45,
03-Jun-20,Warje-Karvenagar,47,
03-Jun-20,Sinhagad Road,268,
03-Jun-20,Dhankawadi-Sahakarnagar,292,
03-Jun-20,Kondhwa-Yewalewadi,119,
03-Jun-20,Shivajinagar-Ghole Road,606,
03-Jun-20,Kasba-Vishrambagwada,645,
03-Jun-20,Bhawani Peth,854,
03-Jun-20,Bibwewadi,499,
03-Jun-20,Dhole Patil,1531,
03-Jun-20,Wanawadi-Ramtekdi,424,
03-Jun-20,Hadapsar-Mundhawa,283,
03-Jun-20,Yerwada-Kalas-Dhanori,909,
03-Jun-20,Nagar Road-Wadgaonsheri,244,
04-Jun-20,Aundh-Baner,48,
04-Jun-20,Kothrud-Bavdhan,46,
04-Jun-20,Warje-Karvenagar,48,
04-Jun-20,Sinhagad Road,279,
04-Jun-20,Dhankawadi-Sahakarnagar,300,
04-Jun-20,Kondhwa-Yewalewadi,119,
04-Jun-20,Shivajinagar-Ghole Road,626,
04-Jun-20,Kasba-Vishrambagwada,655,
04-Jun-20,Bhawani Peth,869,
04-Jun-20,Bibwewadi,504,
04-Jun-20,Dhole Patil,1570,
04-Jun-20,Wanawadi-Ramtekdi,434,
04-Jun-20,Hadapsar-Mundhawa,291,
04-Jun-20,Yerwada-Kalas-Dhanori,930,
04-Jun-20,Nagar Road-Wadgaonsheri,261,
05-Jun-20,Aundh-Baner,49,
05-Jun-20,Kothrud-Bavdhan,49,
05-Jun-20,Warje-Karvenagar,49,
05-Jun-20,Sinhagad Road,292,
05-Jun-20,Dhankawadi-Sahakarnagar,313,
05-Jun-20,Kondhwa-Yewalewadi,128,
05-Jun-20,Shivajinagar-Ghole Road,643,
05-Jun-20,Kasba-Vishrambagwada,685,
05-Jun-20,Bhawani Peth,880,
05-Jun-20,Bibwewadi,509,
05-Jun-20,Dhole Patil,1591,
05-Jun-20,Wanawadi-Ramtekdi,451,
05-Jun-20,Hadapsar-Mundhawa,300,
05-Jun-20,Yerwada-Kalas-Dhanori,951,
05-Jun-20,Nagar Road-Wadgaonsheri,265,
06-Jun-20,Aundh-Baner,97,
06-Jun-20,Kothrud-Bavdhan,54,
06-Jun-20,Warje-Karvenagar,51,
06-Jun-20,Sinhagad Road,323,
06-Jun-20,Dhankawadi-Sahakarnagar,317,
06-Jun-20,Kondhwa-Yewalewadi,140,
06-Jun-20,Shivajinagar-Ghole Road,658,
06-Jun-20,Kasba-Vishrambagwada,726,
06-Jun-20,Bhawani Peth,887,
06-Jun-20,Bibwewadi,519,
06-Jun-20,Dhole Patil,1613,
06-Jun-20,Wanawadi-Ramtekdi,477,
06-Jun-20,Hadapsar-Mundhawa,314,
06-Jun-20,Yerwada-Kalas-Dhanori,967,
06-Jun-20,Nagar Road-Wadgaonsheri,283,
07-Jun-20,Aundh-Baner,106,
07-Jun-20,Kothrud-Bavdhan,56,
07-Jun-20,Warje-Karvenagar,54,
07-Jun-20,Sinhagad Road,348,
07-Jun-20,Dhankawadi-Sahakarnagar,320,
07-Jun-20,Kondhwa-Yewalewadi,143,
07-Jun-20,Shivajinagar-Ghole Road,667,
07-Jun-20,Kasba-Vishrambagwada,748,
07-Jun-20,Bhawani Peth,894,
07-Jun-20,Bibwewadi,525,
07-Jun-20,Dhole Patil,1630,
07-Jun-20,Wanawadi-Ramtekdi,499,
07-Jun-20,Hadapsar-Mundhawa,318,
07-Jun-20,Yerwada-Kalas-Dhanori,981,
07-Jun-20,Nagar Road-Wadgaonsheri,286,
08-Jun-20,Aundh-Baner,119,
08-Jun-20,Kothrud-Bavdhan,71,
08-Jun-20,Warje-Karvenagar,55,
08-Jun-20,Sinhagad Road,349,
08-Jun-20,Dhankawadi-Sahakarnagar,325,
08-Jun-20,Kondhwa-Yewalewadi,149,
08-Jun-20,Shivajinagar-Ghole Road,675,
08-Jun-20,Kasba-Vishrambagwada,772,
08-Jun-20,Bhawani Peth,899,
08-Jun-20,Bibwewadi,533,
08-Jun-20,Dhole Patil,1647,
08-Jun-20,Wanawadi-Ramtekdi,536,
08-Jun-20,Hadapsar-Mundhawa,329,
08-Jun-20,Yerwada-Kalas-Dhanori,993,
08-Jun-20,Nagar Road-Wadgaonsheri,297,
09-Jun-20,Aundh-Baner,130,
09-Jun-20,Kothrud-Bavdhan,76,
09-Jun-20,Warje-Karvenagar,55,
09-Jun-20,Sinhagad Road,357,
09-Jun-20,Dhankawadi-Sahakarnagar,332,
09-Jun-20,Kondhwa-Yewalewadi,159,
09-Jun-20,Shivajinagar-Ghole Road,687,
09-Jun-20,Kasba-Vishrambagwada,787,
09-Jun-20,Bhawani Peth,905,
09-Jun-20,Bibwewadi,536,
09-Jun-20,Dhole Patil,1648,
09-Jun-20,Wanawadi-Ramtekdi,558,
09-Jun-20,Hadapsar-Mundhawa,345,
09-Jun-20,Yerwada-Kalas-Dhanori,1004,
09-Jun-20,Nagar Road-Wadgaonsheri,310,
10-Jun-20,Aundh-Baner,169,
10-Jun-20,Kothrud-Bavdhan,79,
10-Jun-20,Warje-Karvenagar,61,
10-Jun-20,Sinhagad Road,395,
10-Jun-20,Dhankawadi-Sahakarnagar,341,
10-Jun-20,Kondhwa-Yewalewadi,163,
10-Jun-20,Shivajinagar-Ghole Road,699,
10-Jun-20,Kasba-Vishrambagwada,854,
10-Jun-20,Bhawani Peth,908,
10-Jun-20,Bibwewadi,547,
10-Jun-20,Dhole Patil,1664,
10-Jun-20,Wanawadi-Ramtekdi,577,
10-Jun-20,Hadapsar-Mundhawa,354,
10-Jun-20,Yerwada-Kalas-Dhanori,1027,
10-Jun-20,Nagar Road-Wadgaonsheri,327,
11-Jun-20,Aundh-Baner,205,
11-Jun-20,Kothrud-Bavdhan,90,
11-Jun-20,Warje-Karvenagar,66,
11-Jun-20,Sinhagad Road,419,
11-Jun-20,Dhankawadi-Sahakarnagar,351,
11-Jun-20,Kondhwa-Yewalewadi,178,
11-Jun-20,Shivajinagar-Ghole Road,718,
11-Jun-20,Kasba-Vishrambagwada,916,
11-Jun-20,Bhawani Peth,918,
11-Jun-20,Bibwewadi,558,
11-Jun-20,Dhole Patil,1673,
11-Jun-20,Wanawadi-Ramtekdi,594,
11-Jun-20,Hadapsar-Mundhawa,360,
11-Jun-20,Yerwada-Kalas-Dhanori,1040,
11-Jun-20,Nagar Road-Wadgaonsheri,331,
12-Jun-20,Aundh-Baner,217,
12-Jun-20,Kothrud-Bavdhan,93,
12-Jun-20,Warje-Karvenagar,67,
12-Jun-20,Sinhagad Road,439,
12-Jun-20,Dhankawadi-Sahakarnagar,359,
12-Jun-20,Kondhwa-Yewalewadi,186,
12-Jun-20,Shivajinagar-Ghole Road,752,
12-Jun-20,Kasba-Vishrambagwada,951,
12-Jun-20,Bhawani Peth,927,
12-Jun-20,Bibwewadi,568,
12-Jun-20,Dhole Patil,1681,
12-Jun-20,Wanawadi-Ramtekdi,675,
12-Jun-20,Hadapsar-Mundhawa,381,
12-Jun-20,Yerwada-Kalas-Dhanori,1058,
12-Jun-20,Nagar Road-Wadgaonsheri,360,
13-Jun-20,Aundh-Baner,246,
13-Jun-20,Kothrud-Bavdhan,108,
13-Jun-20,Warje-Karvenagar,74,
13-Jun-20,Sinhagad Road,443,
13-Jun-20,Dhankawadi-Sahakarnagar,368,
13-Jun-20,Kondhwa-Yewalewadi,191,
13-Jun-20,Shivajinagar-Ghole Road,788,
13-Jun-20,Kasba-Vishrambagwada,989,
13-Jun-20,Bhawani Peth,936,
13-Jun-20,Bibwewadi,581,
13-Jun-20,Dhole Patil,1706,
13-Jun-20,Wanawadi-Ramtekdi,701,
13-Jun-20,Hadapsar-Mundhawa,398,
13-Jun-20,Yerwada-Kalas-Dhanori,1075,
13-Jun-20,Nagar Road-Wadgaonsheri,365,
14-Jun-20,Aundh-Baner,255,
14-Jun-20,Kothrud-Bavdhan,139,
14-Jun-20,Warje-Karvenagar,79,
14-Jun-20,Sinhagad Road,495,
14-Jun-20,Dhankawadi-Sahakarnagar,390,
14-Jun-20,Kondhwa-Yewalewadi,202,
14-Jun-20,Shivajinagar-Ghole Road,815,
14-Jun-20,Kasba-Vishrambagwada,1024,
14-Jun-20,Bhawani Peth,955,
14-Jun-20,Bibwewadi,593,
14-Jun-20,Dhole Patil,1724,
14-Jun-20,Wanawadi-Ramtekdi,729,
14-Jun-20,Hadapsar-Mundhawa,411,
14-Jun-20,Yerwada-Kalas-Dhanori,1099,
14-Jun-20,Nagar Road-Wadgaonsheri,377,
15-Jun-20,Aundh-Baner,294,
15-Jun-20,Kothrud-Bavdhan,139,
15-Jun-20,Warje-Karvenagar,81,
15-Jun-20,Sinhagad Road,514,
15-Jun-20,Dhankawadi-Sahakarnagar,402,
15-Jun-20,Kondhwa-Yewalewadi,204,
15-Jun-20,Shivajinagar-Ghole Road,834,
15-Jun-20,Kasba-Vishrambagwada,1057,
15-Jun-20,Bhawani Peth,963,
15-Jun-20,Bibwewadi,596,
15-Jun-20,Dhole Patil,1762,
15-Jun-20,Wanawadi-Ramtekdi,742,
15-Jun-20,Hadapsar-Mundhawa,429,
15-Jun-20,Yerwada-Kalas-Dhanori,1107,
15-Jun-20,Nagar Road-Wadgaonsheri,381,
16-Jun-20,Aundh-Baner,296,
16-Jun-20,Kothrud-Bavdhan,143,
16-Jun-20,Warje-Karvenagar,90,
16-Jun-20,Sinhagad Road,539,
16-Jun-20,Dhankawadi-Sahakarnagar,410,
16-Jun-20,Kondhwa-Yewalewadi,235,
16-Jun-20,Shivajinagar-Ghole Road,863,
16-Jun-20,Kasba-Vishrambagwada,1086,
16-Jun-20,Bhawani Peth,980,
16-Jun-20,Bibwewadi,619,
16-Jun-20,Dhole Patil,1772,
16-Jun-20,Wanawadi-Ramtekdi,768,
16-Jun-20,Hadapsar-Mundhawa,451,
16-Jun-20,Yerwada-Kalas-Dhanori,1126,
16-Jun-20,Nagar Road-Wadgaonsheri,400,
17-Jun-20,Aundh-Baner,299,
17-Jun-20,Kothrud-Bavdhan,163.5,
17-Jun-20,Warje-Karvenagar,93.5,
17-Jun-20,Sinhagad Road,555.5,
17-Jun-20,Dhankawadi-Sahakarnagar,434.5,
17-Jun-20,Kondhwa-Yewalewadi,243.5,
17-Jun-20,Shivajinagar-Ghole Road,890.5,
17-Jun-20,Kasba-Vishrambagwada,1107.5,
17-Jun-20,Bhawani Peth,990.5,
17-Jun-20,Bibwewadi,631,
17-Jun-20,Dhole Patil,1786.5,
17-Jun-20,Wanawadi-Ramtekdi,776,
17-Jun-20,Hadapsar-Mundhawa,465,
17-Jun-20,Yerwada-Kalas-Dhanori,1129.5,
17-Jun-20,Nagar Road-Wadgaonsheri,403.5,
18-Jun-20,Aundh-Baner,302,
18-Jun-20,Kothrud-Bavdhan,184,
18-Jun-20,Warje-Karvenagar,97,
18-Jun-20,Sinhagad Road,572,
18-Jun-20,Dhankawadi-Sahakarnagar,459,
18-Jun-20,Kondhwa-Yewalewadi,252,
18-Jun-20,Shivajinagar-Ghole Road,918,
18-Jun-20,Kasba-Vishrambagwada,1129,
18-Jun-20,Bhawani Peth,1001,
18-Jun-20,Bibwewadi,643,
18-Jun-20,Dhole Patil,1801,
18-Jun-20,Wanawadi-Ramtekdi,784,
18-Jun-20,Hadapsar-Mundhawa,479,
18-Jun-20,Yerwada-Kalas-Dhanori,1133,
18-Jun-20,Nagar Road-Wadgaonsheri,407,
19-Jun-20,Aundh-Baner,329,
19-Jun-20,Kothrud-Bavdhan,223,
19-Jun-20,Warje-Karvenagar,117,
19-Jun-20,Sinhagad Road,631,
19-Jun-20,Dhankawadi-Sahakarnagar,491,
19-Jun-20,Kondhwa-Yewalewadi,272,
19-Jun-20,Shivajinagar-Ghole Road,979,
19-Jun-20,Kasba-Vishrambagwada,1206,
19-Jun-20,Bhawani Peth,1030,
19-Jun-20,Bibwewadi,674,
19-Jun-20,Dhole Patil,1823,
19-Jun-20,Wanawadi-Ramtekdi,836,
19-Jun-20,Hadapsar-Mundhawa,531,
19-Jun-20,Yerwada-Kalas-Dhanori,1168,
19-Jun-20,Nagar Road-Wadgaonsheri,422,
20-Jun-20,Aundh-Baner,356,
20-Jun-20,Kothrud-Bavdhan,263,
20-Jun-20,Warje-Karvenagar,137,
20-Jun-20,Sinhagad Road,691,
20-Jun-20,Dhankawadi-Sahakarnagar,523,
20-Jun-20,Kondhwa-Yewalewadi,293,
20-Jun-20,Shivajinagar-Ghole Road,1041,
20-Jun-20,Kasba-Vishrambagwada,1284,
20-Jun-20,Bhawani Peth,1058,
20-Jun-20,Bibwewadi,705,
20-Jun-20,Dhole Patil,1846,
20-Jun-20,Wanawadi-Ramtekdi,888,
20-Jun-20,Hadapsar-Mundhawa,584,
20-Jun-20,Yerwada-Kalas-Dhanori,1204,
20-Jun-20,Nagar Road-Wadgaonsheri,437,
21-Jun-20,Aundh-Baner,383,
21-Jun-20,Kothrud-Bavdhan,302,
21-Jun-20,Warje-Karvenagar,157,
21-Jun-20,Sinhagad Road,750,
21-Jun-20,Dhankawadi-Sahakarnagar,555,
21-Jun-20,Kondhwa-Yewalewadi,313,
21-Jun-20,Shivajinagar-Ghole Road,1102,
21-Jun-20,Kasba-Vishrambagwada,1361,
21-Jun-20,Bhawani Peth,1087,
21-Jun-20,Bibwewadi,736,
21-Jun-20,Dhole Patil,1868,
21-Jun-20,Wanawadi-Ramtekdi,940,
21-Jun-20,Hadapsar-Mundhawa,636,
21-Jun-20,Yerwada-Kalas-Dhanori,1239,
21-Jun-20,Nagar Road-Wadgaonsheri,452,
22-Jun-20,Aundh-Baner,399,
22-Jun-20,Kothrud-Bavdhan,330,
22-Jun-20,Warje-Karvenagar,185,
22-Jun-20,Sinhagad Road,788,
22-Jun-20,Dhankawadi-Sahakarnagar,589,
22-Jun-20,Kondhwa-Yewalewadi,337,
22-Jun-20,Shivajinagar-Ghole Road,1161,
22-Jun-20,Kasba-Vishrambagwada,1461,
22-Jun-20,Bhawani Peth,1129,
22-Jun-20,Bibwewadi,775,
22-Jun-20,Dhole Patil,1908,
22-Jun-20,Wanawadi-Ramtekdi,964,
22-Jun-20,Hadapsar-Mundhawa,685,
22-Jun-20,Yerwada-Kalas-Dhanori,1260,
22-Jun-20,Nagar Road-Wadgaonsheri,473,
23-Jun-20,Aundh-Baner,389,
23-Jun-20,Kothrud-Bavdhan,323,
23-Jun-20,Warje-Karvenagar,188,
23-Jun-20,Sinhagad Road,807,
23-Jun-20,Dhankawadi-Sahakarnagar,602,
23-Jun-20,Kondhwa-Yewalewadi,338,
23-Jun-20,Shivajinagar-Ghole Road,1167,
23-Jun-20,Kasba-Vishrambagwada,1479,
23-Jun-20,Bhawani Peth,1146,
23-Jun-20,Bibwewadi,776,
23-Jun-20,Dhole Patil,1918,
23-Jun-20,Wanawadi-Ramtekdi,967,
23-Jun-20,Hadapsar-Mundhawa,688,
23-Jun-20,Yerwada-Kalas-Dhanori,1256,
23-Jun-20,Nagar Road-Wadgaonsheri,475,
24-Jun-20,Aundh-Baner,414,
24-Jun-20,Kothrud-Bavdhan,358,
24-Jun-20,Warje-Karvenagar,212,
24-Jun-20,Sinhagad Road,826,
24-Jun-20,Dhankawadi-Sahakarnagar,623,
24-Jun-20,Kondhwa-Yewalewadi,360,
24-Jun-20,Shivajinagar-Ghole Road,1219,
24-Jun-20,Kasba-Vishrambagwada,1561,
24-Jun-20,Bhawani Peth,1171,
24-Jun-20,Bibwewadi,814,
24-Jun-20,Dhole Patil,1948,
24-Jun-20,Wanawadi-Ramtekdi,988,
24-Jun-20,Hadapsar-Mundhawa,733,
24-Jun-20,Yerwada-Kalas-Dhanori,1281,
24-Jun-20,Nagar Road-Wadgaonsheri,493,
25-Jun-20,Aundh-Baner,425,
25-Jun-20,Kothrud-Bavdhan,376,
25-Jun-20,Warje-Karvenagar,267,
25-Jun-20,Sinhagad Road,876,
25-Jun-20,Dhankawadi-Sahakarnagar,668,
25-Jun-20,Kondhwa-Yewalewadi,394,
25-Jun-20,Shivajinagar-Ghole Road,1245,
25-Jun-20,Kasba-Vishrambagwada,1622,
25-Jun-20,Bhawani Peth,1204,
25-Jun-20,Bibwewadi,856,
25-Jun-20,Dhole Patil,1963,
25-Jun-20,Wanawadi-Ramtekdi,1016,
25-Jun-20,Hadapsar-Mundhawa,760,
25-Jun-20,Yerwada-Kalas-Dhanori,1302,
25-Jun-20,Nagar Road-Wadgaonsheri,508,
26-Jun-20,Aundh-Baner,441,
26-Jun-20,Kothrud-Bavdhan,403,
26-Jun-20,Warje-Karvenagar,308,
26-Jun-20,Sinhagad Road,917,
26-Jun-20,Dhankawadi-Sahakarnagar,714,
26-Jun-20,Kondhwa-Yewalewadi,411,
26-Jun-20,Shivajinagar-Ghole Road,1263,
26-Jun-20,Kasba-Vishrambagwada,1712,
26-Jun-20,Bhawani Peth,1251,
26-Jun-20,Bibwewadi,883,
26-Jun-20,Dhole Patil,2016,
26-Jun-20,Wanawadi-Ramtekdi,1036,
26-Jun-20,Hadapsar-Mundhawa,820,
26-Jun-20,Yerwada-Kalas-Dhanori,1331,
26-Jun-20,Nagar Road-Wadgaonsheri,522,
27-Jun-20,Aundh-Baner,481,
27-Jun-20,Kothrud-Bavdhan,460,
27-Jun-20,Warje-Karvenagar,376,
27-Jun-20,Sinhagad Road,969,
27-Jun-20,Dhankawadi-Sahakarnagar,752,
27-Jun-20,Kondhwa-Yewalewadi,443,
27-Jun-20,Shivajinagar-Ghole Road,1307,
27-Jun-20,Kasba-Vishrambagwada,1835,
