Date,Ward,No_confirmed_cases,
15-Apr-20,Hadapsar-Mundhawa,21,
15-Apr-20,Yerwada-Kalas-Dhanori,33,
15-Apr-20,Nagar Road-Wadgaonsheri,5,
16-Apr-20,Aundh-Baner,3,
16-Apr-20,Kothrud-Bavdhan,1,
16-Apr-20,Warje-Karvenagar,9,
16-Apr-20,Sinhagad Road,8,
16-Apr-20,Dhankawadi-Sahakarnagar,27,
16-Apr-20,Kondhwa-Yewalewadi,9,
16-Apr-20,Shivajinagar-Ghole Road,28,
16-Apr-20,Kasba-Vishrambagwada,51,
16-Apr-20,Bhawani Peth,118,
16-Apr-20,Bibwewadi,17,
16-Apr-20,Dhole Patil,57,
16-Apr-20,Wanawadi-Ramtekdi,24,
16-Apr-20,Hadapsar-Mundhawa,21,
16-Apr-20,Yerwada-Kalas-Dhanori,43,
16-Apr-20,Nagar Road-Wadgaonsheri,6,
17-Apr-20,Aundh-Baner,3,
17-Apr-20,Kothrud-Bavdhan,1,
17-Apr-20,Warje-Karvenagar,9,
17-Apr-20,Sinhagad Road,8,
17-Apr-20,Dhankawadi-Sahakarnagar,30,
17-Apr-20,Kondhwa-Yewalewadi,9,
17-Apr-20,Shivajinagar-Ghole Road,33,
17-Apr-20,Kasba-Vishrambagwada,63,
17-Apr-20,Bhawani Peth,130,
17-Apr-20,Bibwewadi,20,
17-Apr-20,Dhole Patil,61,
17-Apr-20,Wanawadi-Ramtekdi,54,
17-Apr-20,Hadapsar-Mundhawa,21,
17-Apr-20,Yerwada-Kalas-Dhanori,48,
17-Apr-20,Nagar Road-Wadgaonsheri,6,
18-Apr-20,Aundh-Baner,3,
18-Apr-20,Kothrud-Bavdhan,1,
18-Apr-20,Warje-Karvenagar,9,
18-Apr-20,Sinhagad Road,9,
18-Apr-20,Dhankawadi-Sahakarnagar,32,
18-Apr-20,Kondhwa-Yewalewadi,5,
18-Apr-20,Shivajinagar-Ghole Road,39,
18-Apr-20,Kasba-Vishrambagwada,65,
18-Apr-20,Bhawani Peth,140,
18-Apr-20,Bibwewadi,23,
18-Apr-20,Dhole Patil,70,
18-Apr-20,Wanawadi-Ramtekdi,32,
18-Apr-20,Hadapsar-Mundhawa,23,
18-Apr-20,Yerwada-Kalas-Dhanori,52,
18-Apr-20,Nagar Road-Wadgaonsheri,6,
19-Apr-20,Aundh-Baner,3,
19-Apr-20,Kothrud-Bavdhan,1,
19-Apr-20,Warje-Karvenagar,9,
